New York, New York, 8491079
Los Angeles, California, 3928864
Chicago, Illinois, 2722389
Houston, Texas, 2239558
Philadelphia, Pennsylvania, 1560297
Phoenix, Arizona, 1537058
San Antonio, Texas, 1436697
San Diego, California, 1381069
Dallas, Texas, 1281047
San Jose, California, 1015785
Austin, Texas, 912791
Jacksonville, Florida, 853382
San Francisco, California, 852469
Indianapolis, Indiana, 848788
Columbus, Ohio, 835957
Fort Worth, Texas, 812238
Charlotte, North Carolina, 809958
Detroit, Michigan, 680250
El Paso, Texas, 679036
Seattle, Washington, 668342
Denver, Colorado, 663862
Washington, District of Columbia, 658893
Memphis, Tennessee, 656861
Boston, Massachusetts, 655884
Nashville, Tennessee, 644014
Baltimore, Maryland, 622793
Oklahoma City, Oklahoma, 620602
Portland, Oregon, 619360
Las Vegas, Nevada, 613599
Louisville, Kentucky, 612780
Milwaukee, Wisconsin, 599642
Albuquerque, New Mexico, 557169
Tucson, Arizona, 527972
Fresno, California, 515986
Sacramento, California, 485199
Long Beach, California, 473577
Kansas City, Missouri, 470800
Mesa, Arizona, 464704
Atlanta, Georgia, 456002
Virginia Beach, Virginia, 450980
Omaha, Nebraska, 446599
Colorado Springs, Colorado, 445830
Raleigh, North Carolina, 439896
Miami, Florida, 430332
Oakland, California, 413775
Minneapolis, Minnesota, 407207
Tulsa, Oklahoma, 399682
Cleveland, Ohio, 389521
Wichita, Kansas, 388413
New Orleans, Louisiana, 384320
Arlington, Texas, 383204
Bakersfield, California, 368759
Tampa, Florida, 358699
Aurora, Colorado, 353108
Honolulu, Hawai'i, 350399
Anaheim, California, 346997
Santa Ana, California, 334909
Corpus Christi, Texas, 320434
Riverside, California, 319504
St. Louis, Missouri, 317419
Lexington, Kentucky, 310797
Pittsburgh, Pennsylvania, 305412
Stockton, California, 302389
Anchorage, Alaska, 301010
Cincinnati, Ohio, 298165
Saint Paul, Minnesota, 297640
Greensboro, North Carolina, 282586
Toledo, Ohio, 281031
Newark, New Jersey, 280579
Plano, Texas, 278480
Henderson, Nevada, 277440
Lincoln, Nebraska, 272996
Orlando, Florida, 262372
Jersey City, New Jersey, 262146
Chula Vista, California, 260988
Buffalo, New York, 258703
Fort Wayne, Indiana, 258522
Chandler, Arizona, 254276
St. Petersburg, Florida, 253693
Laredo, Texas, 252309
Durham, North Carolina, 251893
Irvine, California, 248531
Madison, Wisconsin, 245691
Norfolk, Virginia, 245428
Lubbock, Texas, 243839
Gilbert, Arizona, 239277
Winston–Salem, North Carolina, 239269
Glendale, Arizona, 237517
Reno, Nevada, 236995
Hialeah, Florida, 235563
Garland, Texas, 235501
Chesapeake, Virginia, 233371
Irving, Texas, 232406
North Las Vegas, Nevada, 230788
Scottsdale, Arizona, 230512
Baton Rouge, Louisiana, 228895
Fremont, California, 228758
Richmond, Virginia, 217853
Boise, Idaho, 216282
San Bernardino, California, 215213
Birmingham, Alabama, 212247
Spokane, Washington, 212052
Rochester, New York, 209983
Modesto, California, 209286
Des Moines, Iowa, 209220
Oxnard, California, 205437
Tacoma, Washington, 205159
Fontana, California, 204950
Fayetteville, North Carolina, 203948
Moreno Valley, California, 202976
Columbus, Georgia, 200887
Huntington Beach, California, 200809
Yonkers, New York, 200667
Montgomery, Alabama, 200481
Aurora, Illinois, 200456
Glendale, California, 200167
Shreveport, Louisiana, 198242
Akron, Ohio, 197859
Little Rock, Arkansas, 197706
Amarillo, Texas, 197254
Augusta, Georgia, 196741
Mobile, Alabama, 194675
Grand Rapids, Michigan, 193792
Salt Lake City, Utah, 190884
Huntsville, Alabama, 188226
Tallahassee, Florida, 188107
Grand Prairie, Texas, 185453
Overland Park, Kansas, 184525
Knoxville, Tennessee, 184281
Brownsville, Texas, 183046
Worcester, Massachusetts, 183016
Newport News, Virginia, 182965
Santa Clarita, California, 181557
Providence, Rhode Island, 179154
Fort Lauderdale, Florida, 176013
Garden Grove, California, 175078
Oceanside, California, 174558
Rancho Cucamonga, California, 174305
Santa Rosa, California, 174170
Port St. Lucie, Florida, 174110
Chattanooga, Tennessee, 173778
Tempe, Arizona, 172816
Jackson, Mississippi, 171155
Cape Coral, Florida, 169854
Vancouver, Washington, 169294
Ontario, California, 169089
Sioux Falls, South Dakota, 168586
Peoria, Arizona, 166934
Springfield, Missouri, 165378
